row,tau,n,k_false,p_hat,cp95_upper,cp9875_upper
all accepts,33.3,64,2,0.03125,0.095122,0.120989
all accepts,33.4,63,2,0.031746,0.09658,0.122816
all accepts,33.5,62,2,0.032258,0.098084,0.124699
all accepts,33.6,58,1,0.017241,0.079198,0.105048
value-bearing accepts,33.3,63,1,0.015873,0.073099,0.097065
value-bearing accepts,33.4,62,1,0.016129,0.074242,0.098563
value-bearing accepts,33.5,61,1,0.016393,0.075422,0.100109
value-bearing accepts,33.6,58,1,0.017241,0.079198,0.105048
three-family cliques,33.3,64,2,0.03125,0.095122,0.120989
three-family cliques,33.4,63,2,0.031746,0.09658,0.122816
three-family cliques,33.5,62,2,0.032258,0.098084,0.124699
three-family cliques,33.6,58,1,0.017241,0.079198,0.105048
two-family cliques,33.3,0,0,,,
two-family cliques,33.4,0,0,,,
two-family cliques,33.5,0,0,,,
two-family cliques,33.6,0,0,,,
