sample_id,class,packet_path
sample_11,d-missing,release/k3_packets/sample_11.md
sample_30,d-truncated,release/k3_packets/sample_30.md
sample_37,d-truncated,release/k3_packets/sample_37.md
sample_52,d-missing,release/k3_packets/sample_52.md
sample_57,d-truncated,release/k3_packets/sample_57.md
sample_98,b,release/k3_packets/sample_98.md
sample_122,d-missing,release/k3_packets/sample_122.md
sample_126,d-missing,release/k3_packets/sample_126.md
sample_127,d-missing,release/k3_packets/sample_127.md
sample_130,d-missing,release/k3_packets/sample_130.md
sample_133,d-missing,release/k3_packets/sample_133.md
sample_142,d-missing,release/k3_packets/sample_142.md
sample_167,d-missing,release/k3_packets/sample_167.md
sample_179,d-missing,release/k3_packets/sample_179.md
sample_201,d-missing,release/k3_packets/sample_201.md
sample_218,d-missing,release/k3_packets/sample_218.md
sample_219,d-missing,release/k3_packets/sample_219.md
sample_233,b,release/k3_packets/sample_233.md
sample_269,d-truncated,release/k3_packets/sample_269.md
sample_281,d-missing,release/k3_packets/sample_281.md
sample_287,d-missing,release/k3_packets/sample_287.md
sample_292,d-truncated,release/k3_packets/sample_292.md
