phase,requested,returned,count
(unattributed),deepseek-v3.2,deepseek-v3.2,4803
(unattributed),deepseek-v3.2,deepseek-v3-2-251201,222
E1 collect,deepseek-v3.2,deepseek-v3.2,10392
E1 collect,deepseek-v3.2,deepseek-v3-2-251201,27
E1 collect_abandoned_8w,deepseek-v3.2,deepseek-v3.2,4315
E1 collect_pilot,deepseek-v3.2,deepseek-v3.2,33
E1 eval / gate / complexor,deepseek-v3.2,deepseek-v3.2,76
E1 eval / gate / industryor,deepseek-v3.2,deepseek-v3.2,816
E1 eval / gate / mamo_c,deepseek-v3.2,deepseek-v3.2,1629
E1 eval / gate / optibench,deepseek-v3.2,deepseek-v3.2,3910
E1 eval / gate / optmath,deepseek-v3.2,deepseek-v3.2,1259
E1 eval / gate / optmath,deepseek-v3.2,deepseek-v3-2-251201,1
E1 eval / gt / complexor,deepseek-v3.2,deepseek-v3.2,116
E1 eval / gt / industryor,deepseek-v3.2,deepseek-v3.2,3056
E1 eval / gt / industryor,deepseek-v3.2,deepseek-v3-2-251201,39
E1 eval / gt / mamo_c,deepseek-v3.2,deepseek-v3.2,3506
E1 eval / gt / mamo_c,deepseek-v3.2,deepseek-v3-2-251201,405
E1 eval / gt / optibench,deepseek-v3.2,deepseek-v3.2,6215
E1 eval / gt / optibench,deepseek-v3.2,deepseek-v3-2-251201,728
E1 eval / gt / optmath,deepseek-v3.2,deepseek-v3.2,3162
E1 eval / runsok / complexor,deepseek-v3.2,deepseek-v3.2,102
E1 eval / runsok / industryor,deepseek-v3.2,deepseek-v3.2,923
E1 eval / runsok / mamo_c,deepseek-v3.2,deepseek-v3.2,1470
E1 eval / runsok / optibench,deepseek-v3.2,deepseek-v3.2,3790
E1 eval / runsok / optibench,deepseek-v3.2,deepseek-v3-2-251201,1
E1 eval / runsok / optmath,deepseek-v3.2,deepseek-v3.2,1329
E1 eval / runsok / optmath,deepseek-v3.2,deepseek-v3-2-251201,2
E1 eval / vote / complexor,deepseek-v3.2,deepseek-v3.2,70
E1 eval / vote / industryor,deepseek-v3.2,deepseek-v3.2,1390
E1 eval / vote / mamo_c,deepseek-v3.2,deepseek-v3.2,1359
E1 eval / vote / optibench,deepseek-v3.2,deepseek-v3.2,3717
E1 eval / vote / optmath,deepseek-v3.2,deepseek-v3.2,1137
