arm,plate,items,with_skill_id,in_library,distinct_files,top_file,top_share,acc_selection_success,acc_selection_failure,e1_eval_failure
gt,complexor,18,18,18,12,continuous_bipartite_assignment_lp,27.78,66.67,-,0
gt,industryor,100,96,96,33,continuous_assignment_with_capacity_limits,18.0,32.29,0.00,4
gt,mamo_c,211,207,207,20,linear_diet_optimization,20.85,53.62,0.00,4
gt,optmath,166,164,164,23,flow_shop_scheduling_with_disjunctive_constraints,25.9,56.71,0.00,2
gt,optibench,605,520,520,31,continuous_assignment_with_capacity_limits,20.33,73.46,0.00,85
vote,complexor,18,18,18,16,continuous_bipartite_assignment_lp,16.67,61.11,-,0
vote,industryor,100,99,99,36,continuous_assignment_with_capacity_limits,12.0,33.33,0.00,1
vote,mamo_c,211,207,207,22,minimum_cost_network_flow,20.85,54.59,0.00,4
vote,optmath,166,163,163,23,flow_shop_scheduling_with_disjunctive_constraints,25.9,55.21,0.00,3
vote,optibench,605,603,603,38,continuous_linear_production_planning,32.23,72.47,0.00,2
runsok,complexor,18,18,18,15,continuous_resource_constrained_production_planning,11.11,66.67,-,0
runsok,industryor,100,99,99,35,continuous_resource_constrained_production_planning,15.0,35.35,0.00,1
runsok,mamo_c,211,207,207,19,linear_program_with_bounded_nutrient_constraints,19.91,54.11,0.00,4
runsok,optmath,166,163,163,24,generic_job_shop_scheduling_with_precedence_variables,25.9,56.44,0.00,3
runsok,optibench,605,603,603,30,continuous_resource_constrained_production_planning,39.5,72.64,0.00,2
gate,complexor,18,18,18,11,continuous_bipartite_assignment_lp,33.33,66.67,-,0
gate,industryor,100,100,100,30,continuous_production_planning_with_resource_constraints,18.0,39.00,-,0
gate,mamo_c,211,210,210,18,resource_constrained_linear_optimization,22.27,58.10,0.00,1
gate,optmath,166,165,165,24,resource_constrained_linear_optimization,20.48,56.36,0.00,1
gate,optibench,605,605,605,19,resource_constrained_linear_optimization,44.63,72.23,-,0
