set,item,exact_matches,normalized_matches,max_jaccard,nearest_plate,nearest_item
stream,1,0,0,0.0141,optmath_bench,113
stream,2,0,0,0.0936,optmath_bench,45
stream,3,0,0,0.0154,mamo_complex_test,187
stream,4,0,0,0.013,optmath_bench,45
stream,5,0,0,0.0193,complexor,3
stream,6,0,0,0.0118,optmath_bench,112
stream,7,0,0,0.1496,optmath_bench,37
stream,8,0,0,0.0191,optmath_bench,3
stream,9,0,0,0.0373,optmath_bench,33
stream,10,0,0,0.0113,mamo_complex_test,111
stream,11,0,0,0.0087,optmath_bench,102
stream,12,0,0,0.0051,optmath_bench,111
stream,13,0,0,0.0073,optmath_bench,72
stream,14,0,0,0.0838,optmath_bench,102
stream,15,0,0,0.075,optmath_bench,102
stream,16,0,0,0.0167,optmath_bench,56
stream,17,0,0,0.0078,complexor,8
stream,18,0,0,0.0204,optmath_bench,40
stream,19,0,0,0.0219,complexor,3
stream,20,0,0,0.0112,complexor,3
stream,21,0,0,0.2059,optmath_bench,101
stream,22,0,0,0.094,optmath_bench,102
stream,23,0,0,0.0055,optmath_bench,112
stream,24,0,0,0.0147,optmath_bench,112
stream,25,0,0,0.0704,optmath_bench,3
stream,26,0,0,0.0042,industryor,47
stream,27,0,0,0.0233,optmath_bench,50
stream,28,0,0,0.0251,complexor,3
stream,29,0,0,0.0086,optmath_bench,5
stream,30,0,0,0.0047,optmath_bench,102
stream,31,0,0,0.0813,optmath_bench,45
stream,32,0,0,0.0172,optmath_bench,44
stream,33,0,0,0.0066,optmath_bench,45
stream,34,0,0,0.051,optmath_bench,55
stream,35,0,0,0.0134,optibench,254
stream,36,0,0,0.0075,optmath_bench,45
stream,37,0,0,0.0133,optmath_bench,72
stream,38,0,0,0.0283,optmath_bench,40
stream,39,0,0,0.0063,optibench,336
stream,40,0,0,0.0045,optibench,410
stream,41,0,0,0.062,optmath_bench,102
stream,42,0,0,0.0087,optmath_bench,112
stream,43,0,0,0.0086,mamo_complex_test,103
stream,44,0,0,0.0144,optmath_bench,113
stream,45,0,0,0.0698,optmath_bench,102
stream,46,0,0,0.038,optmath_bench,10
stream,47,0,0,0.0055,optmath_bench,116
stream,48,0,0,0.0102,complexor,6
stream,49,0,0,0.0062,optmath_bench,67
stream,50,0,0,0.012,complexor,18
stream,51,0,0,0.0034,optmath_bench,119
stream,52,0,0,0.0097,optmath_bench,72
stream,53,0,0,0.0199,optmath_bench,49
stream,54,0,0,0.0216,optmath_bench,40
stream,55,0,0,0.0105,optmath_bench,49
stream,56,0,0,0.0057,optmath_bench,123
stream,57,0,0,0.0027,complexor,1
stream,58,0,0,0.0071,complexor,6
stream,59,0,0,0.02,optmath_bench,53
stream,60,0,0,0.0057,optibench,465
stream,61,0,0,0.0547,optmath_bench,88
stream,62,0,0,0.0109,optmath_bench,71
stream,63,0,0,0.0119,complexor,3
stream,64,0,0,0.0077,optibench,336
stream,65,0,0,0.0081,mamo_complex_test,187
stream,66,0,0,0.0093,optmath_bench,119
stream,67,0,0,0.0095,optmath_bench,49
stream,68,0,0,0.009,complexor,18
stream,69,0,0,0.099,optmath_bench,3
stream,70,0,0,0.0111,optmath_bench,40
stream,71,0,0,0.0088,optmath_bench,24
stream,72,0,0,0.0156,optmath_bench,45
stream,73,0,0,0.0256,complexor,6
stream,74,0,0,0.0085,optmath_bench,72
stream,75,0,0,0.0101,optibench,336
stream,76,0,0,0.0077,optmath_bench,5
stream,77,0,0,0.0064,optmath_bench,112
stream,78,0,0,0.0104,optmath_bench,50
stream,79,0,0,0.0142,optmath_bench,112
stream,80,0,0,0.0087,optibench,391
stream,81,0,0,0.0063,optmath_bench,59
stream,82,0,0,0.0152,optmath_bench,56
stream,83,0,0,0.0622,optmath_bench,84
stream,84,0,0,0.0096,optmath_bench,102
stream,85,0,0,0.0143,complexor,3
stream,86,0,0,0.0092,optmath_bench,130
stream,87,0,0,0.0077,optmath_bench,123
stream,88,0,0,0.0528,optmath_bench,102
stream,89,0,0,0.0116,optmath_bench,40
stream,90,0,0,0.0122,optmath_bench,56
stream,91,0,0,0.1128,optmath_bench,102
stream,92,0,0,0.0071,mamo_complex_test,129
stream,93,0,0,0.0194,complexor,3
stream,94,0,0,0.0055,optmath_bench,133
stream,95,0,0,0.014,complexor,6
stream,96,0,0,0.0123,optmath_bench,72
stream,97,0,0,0.1067,optmath_bench,110
stream,98,0,0,0.0298,optmath_bench,118
stream,99,0,0,0.0455,optmath_bench,5
stream,100,0,0,0.0057,optmath_bench,5
stream,101,0,0,0.0536,optmath_bench,126
stream,102,0,0,0.0141,optmath_bench,45
stream,103,0,0,0.0178,optmath_bench,50
stream,104,0,0,0.0333,optmath_bench,84
stream,105,0,0,0.0102,industryor,31
stream,106,0,0,0.0152,optibench,128
stream,107,0,0,0.146,optmath_bench,3
stream,108,0,0,0.0104,optmath_bench,43
stream,109,0,0,0.0494,optmath_bench,124
stream,110,0,0,0.079,optmath_bench,80
stream,111,0,0,0.0246,optmath_bench,103
stream,112,0,0,0.0897,optmath_bench,74
stream,113,0,0,0.003,optmath_bench,102
stream,114,0,0,0.0111,optmath_bench,49
stream,115,0,0,0.0214,optmath_bench,27
stream,116,0,0,0.0123,optmath_bench,45
stream,117,0,0,0.0112,optmath_bench,45
stream,118,0,0,0.0134,optmath_bench,45
stream,119,0,0,0.0861,optmath_bench,102
stream,120,0,0,0.0102,industryor,31
stream,121,0,0,0.0109,optmath_bench,40
stream,122,0,0,0.0075,optmath_bench,40
stream,123,0,0,0.0133,optmath_bench,25
stream,124,0,0,0.0136,optmath_bench,45
stream,125,0,0,0.0069,optmath_bench,44
stream,126,0,0,0.0086,optmath_bench,112
stream,127,0,0,0.0357,optmath_bench,119
stream,128,0,0,0.0132,optmath_bench,44
stream,129,0,0,0.0111,optmath_bench,5
stream,130,0,0,0.0031,mamo_complex_test,85
stream,131,0,0,0.1466,optmath_bench,102
stream,132,0,0,0.0111,optmath_bench,96
stream,133,0,0,0.0614,optmath_bench,61
stream,134,0,0,0.0079,optmath_bench,112
stream,135,0,0,0.0317,optmath_bench,102
stream,136,0,0,0.0128,optmath_bench,5
stream,137,0,0,0.0071,optmath_bench,102
stream,138,0,0,0.1291,optmath_bench,26
stream,139,0,0,0.0181,optmath_bench,78
stream,140,0,0,0.0116,optmath_bench,72
stream,141,0,0,0.1567,optmath_bench,42
stream,142,0,0,0.0151,optmath_bench,72
stream,143,0,0,0.0077,optmath_bench,37
stream,144,0,0,0.0112,optmath_bench,27
stream,145,0,0,0.0068,optmath_bench,99
stream,146,0,0,0.0196,optmath_bench,49
stream,147,0,0,0.0665,optmath_bench,80
stream,148,0,0,0.0088,optmath_bench,112
stream,149,0,0,0.0335,optmath_bench,118
stream,150,0,0,0.0414,optmath_bench,33
