sample_id,population,group,k3_class,n_values,n_unmatched,coverage,F1,F2
sample_1,stream,other,,25,0,1.0,0,0
sample_10,stream,other,,44,0,1.0,0,0
sample_100,stream,concordant_admitted,,52,0,1.0,0,0
sample_101,stream,other,,26,0,1.0,0,0
sample_102,stream,concordant_admitted,,144,0,1.0,0,0
sample_103,stream,concordant_admitted,,21,0,1.0,0,0
sample_104,stream,concordant_admitted,,19,0,1.0,0,0
sample_105,stream,other,,64,0,1.0,0,0
sample_106,stream,other,,7,0,1.0,0,0
sample_107,stream,concordant_admitted,,16,1,0.9375,0,0
sample_109,stream,concordant_admitted,,24,0,1.0,0,0
sample_11,stream,wrong,d-missing,136,0,1.0,0,0
sample_110,stream,other,,19,0,1.0,0,0
sample_111,stream,concordant_admitted,,20,0,1.0,0,0
sample_112,stream,other,,27,0,1.0,0,0
sample_113,stream,concordant_admitted,,142,0,1.0,0,0
sample_114,stream,other,,224,0,1.0,0,0
sample_115,stream,other,,48,0,1.0,0,0
sample_116,stream,other,,144,0,1.0,0,0
sample_117,stream,concordant_admitted,,112,0,1.0,0,0
sample_118,stream,other,,58,0,1.0,0,0
sample_119,stream,other,,54,0,1.0,0,0
sample_12,stream,concordant_admitted,,161,0,1.0,0,0
sample_120,stream,concordant_admitted,,22,0,1.0,0,0
sample_121,stream,other,,194,0,1.0,0,0
sample_122,stream,wrong,d-missing,60,26,0.5667,1,1
sample_123,stream,concordant_admitted,,18,0,1.0,0,0
sample_124,stream,other,,80,0,1.0,0,0
sample_125,stream,other,,49,0,1.0,0,0
sample_126,stream,wrong,d-missing,59,22,0.6271,1,1
sample_127,stream,wrong,d-missing,57,40,0.2982,1,1
sample_128,stream,concordant_admitted,,24,0,1.0,0,0
sample_129,stream,concordant_admitted,,58,0,1.0,0,0
sample_13,stream,other,,36,1,0.9722,0,0
sample_130,stream,wrong,d-missing,33,4,0.8788,0,0
sample_131,stream,other,,33,0,1.0,0,0
sample_132,stream,other,,10,0,1.0,0,0
sample_133,stream,wrong,d-missing,28,20,0.2857,1,1
sample_134,stream,other,,112,0,1.0,0,0
sample_135,stream,other,,32,0,1.0,0,0
sample_136,stream,concordant_admitted,,42,0,1.0,0,0
sample_137,stream,other,,95,0,1.0,0,0
sample_138,stream,other,,66,3,0.9545,0,0
sample_139,stream,other,,34,1,0.9706,0,0
sample_14,stream,other,,43,0,1.0,0,0
sample_140,stream,other,,37,0,1.0,0,0
sample_141,stream,other,,13,0,1.0,0,0
sample_142,stream,wrong,d-missing,58,27,0.5345,1,1
sample_143,stream,other,,127,0,1.0,0,0
sample_144,stream,other,,194,0,1.0,0,0
sample_145,stream,concordant_admitted,,63,0,1.0,0,0
sample_146,stream,other,,40,0,1.0,0,0
sample_147,stream,other,,19,0,1.0,0,0
sample_148,stream,other,,71,30,0.5775,0,1
sample_149,stream,other,,57,0,1.0,0,0
sample_15,stream,other,,23,0,1.0,0,0
sample_150,stream,other,,114,2,0.9825,0,0
sample_151,stream,other,,110,55,0.5,1,1
sample_152,stream,concordant_admitted,,42,0,1.0,0,0
sample_153,stream,concordant_admitted,,21,0,1.0,0,0
sample_154,stream,other,,63,0,1.0,0,0
sample_155,stream,concordant_admitted,,10,0,1.0,0,0
sample_156,stream,other,,30,0,1.0,0,0
sample_157,stream,other,,32,0,1.0,0,0
sample_158,stream,concordant_admitted,,32,0,1.0,0,0
sample_159,stream,other,,25,1,0.96,0,0
sample_16,stream,other,,144,1,0.9931,0,0
sample_160,stream,concordant_admitted,,78,0,1.0,0,0
sample_161,stream,concordant_admitted,,42,0,1.0,0,0
sample_162,stream,other,,28,0,1.0,0,0
sample_163,stream,other,,26,0,1.0,0,0
sample_164,stream,concordant_admitted,,51,0,1.0,0,0
sample_165,stream,other,,36,1,0.9722,0,0
sample_166,stream,other,,50,1,0.98,0,0
sample_167,stream,wrong,d-missing,60,28,0.5333,1,1
sample_168,stream,other,,2,0,1.0,0,0
sample_169,stream,concordant_admitted,,51,0,1.0,0,0
sample_17,stream,other,,64,0,1.0,0,0
sample_170,stream,other,,71,0,1.0,0,0
sample_171,stream,other,,110,0,1.0,0,0
sample_172,stream,other,,45,0,1.0,0,0
sample_173,stream,concordant_admitted,,34,0,1.0,0,0
sample_174,stream,other,,28,0,1.0,0,0
sample_175,stream,concordant_admitted,,8,0,1.0,0,0
sample_176,stream,concordant_admitted,,142,0,1.0,0,0
sample_177,stream,other,,21,0,1.0,0,0
sample_178,stream,other,,8,0,1.0,0,0
sample_179,stream,wrong,d-missing,60,33,0.45,1,1
sample_18,stream,other,,48,0,1.0,0,0
sample_180,stream,concordant_admitted,,95,0,1.0,0,0
sample_181,stream,concordant_admitted,,20,0,1.0,0,0
sample_182,stream,concordant_admitted,,28,0,1.0,0,0
