sample_id,group,k3_class,score
sample_11,wrong,d-missing,33.6
sample_30,wrong,d-truncated,33.6
sample_37,wrong,d-truncated,33.5
sample_52,wrong,d-missing,33.6
sample_57,wrong,d-truncated,33.6
sample_98,wrong,b,33.6
sample_122,wrong,d-missing,33.6
sample_126,wrong,d-missing,33.6
sample_127,wrong,d-missing,33.6
sample_130,wrong,d-missing,33.6
sample_133,wrong,d-missing,33.6
sample_142,wrong,d-missing,33.6
sample_167,wrong,d-missing,33.6
sample_179,wrong,d-missing,33.5
sample_201,wrong,d-missing,33.5
sample_218,wrong,d-missing,33.4
sample_219,wrong,d-missing,33.4
sample_233,wrong,b,33.4
sample_269,wrong,d-truncated,33.6
sample_281,wrong,d-missing,33.6
sample_287,wrong,d-missing,33.6
sample_292,wrong,d-truncated,33.6
sample_19,control,,33.6
sample_62,control,,33.5
sample_67,control,,33.6
sample_68,control,,33.6
sample_94,control,,33.6
sample_97,control,,33.3
sample_103,control,,33.6
sample_120,control,,33.6
sample_158,control,,33.6
sample_161,control,,33.6
sample_175,control,,33.6
sample_183,control,,33.6
sample_212,control,,33.6
sample_226,control,,33.6
sample_237,control,,33.6
sample_240,control,,33.6
sample_241,control,,33.6
sample_251,control,,33.6
sample_254,control,,33.4
sample_258,control,,33.4
sample_278,control,,33.6
sample_289,control,,33.6
