sample_id,requested,resp_model,prompt_tokens,completion_tokens,total_tokens,latency_s,attempt,error
sample_37,claude-sonnet-4-6,claude-sonnet-4-6,1218,400,1618,8.19,0,
sample_30,claude-sonnet-4-6,claude-sonnet-4-6,2708,663,3371,11.01,0,
sample_11,claude-sonnet-4-6,claude-sonnet-4-6,952,660,1612,12.36,0,
sample_52,claude-sonnet-4-6,claude-sonnet-4-6,1315,371,1686,8.63,0,
sample_57,claude-sonnet-4-6,claude-sonnet-4-6,2530,673,3203,10.29,0,
sample_98,claude-sonnet-4-6,claude-sonnet-4-6,1059,1211,2270,12.93,0,
sample_122,claude-sonnet-4-6,claude-sonnet-4-6,1399,604,2003,9.34,0,
sample_126,claude-sonnet-4-6,claude-sonnet-4-6,1259,592,1851,9.9,0,
sample_130,claude-sonnet-4-6,claude-sonnet-4-6,1163,517,1680,8.6,0,
sample_127,claude-sonnet-4-6,claude-sonnet-4-6,1242,663,1905,11.72,0,
sample_133,claude-sonnet-4-6,claude-sonnet-4-6,716,334,1050,7.27,0,
sample_142,claude-sonnet-4-6,claude-sonnet-4-6,884,384,1268,8.21,0,
sample_167,claude-sonnet-4-6,claude-sonnet-4-6,1172,477,1649,8.82,0,
sample_179,claude-sonnet-4-6,claude-sonnet-4-6,1311,477,1788,8.55,0,
sample_201,claude-sonnet-4-6,claude-sonnet-4-6,1114,676,1790,11.4,0,
sample_219,claude-sonnet-4-6,claude-sonnet-4-6,852,461,1313,7.98,0,
sample_218,claude-sonnet-4-6,claude-sonnet-4-6,1619,656,2275,10.43,0,
sample_269,claude-sonnet-4-6,claude-sonnet-4-6,1383,394,1777,7.82,0,
sample_233,claude-sonnet-4-6,claude-sonnet-4-6,1008,560,1568,9.85,0,
sample_281,claude-sonnet-4-6,claude-sonnet-4-6,849,453,1302,8.62,0,
sample_287,claude-sonnet-4-6,claude-sonnet-4-6,1291,453,1744,9.35,0,
sample_292,claude-sonnet-4-6,claude-sonnet-4-6,1593,479,2072,8.79,0,
sample_19,claude-sonnet-4-6,claude-sonnet-4-6,1056,464,1520,9.15,0,
sample_67,claude-sonnet-4-6,claude-sonnet-4-6,1110,254,1364,5.5,0,
sample_68,claude-sonnet-4-6,claude-sonnet-4-6,1063,228,1291,5.5,0,
sample_62,claude-sonnet-4-6,claude-sonnet-4-6,1207,473,1680,7.74,0,
sample_103,claude-sonnet-4-6,claude-sonnet-4-6,931,418,1349,7.4,0,
sample_94,claude-sonnet-4-6,claude-sonnet-4-6,1511,484,1995,9.84,0,
sample_97,claude-sonnet-4-6,claude-sonnet-4-6,1043,1103,2146,12.48,0,
sample_120,claude-sonnet-4-6,claude-sonnet-4-6,2742,291,3033,6.15,0,
sample_158,claude-sonnet-4-6,claude-sonnet-4-6,1632,433,2065,8.67,0,
sample_161,claude-sonnet-4-6,claude-sonnet-4-6,1292,282,1574,7.23,0,
sample_175,claude-sonnet-4-6,claude-sonnet-4-6,1722,231,1953,6.59,0,
sample_183,claude-sonnet-4-6,claude-sonnet-4-6,1208,318,1526,7.72,0,
sample_212,claude-sonnet-4-6,claude-sonnet-4-6,2442,727,3169,11.67,0,
sample_226,claude-sonnet-4-6,claude-sonnet-4-6,968,932,1900,11.2,0,
sample_241,claude-sonnet-4-6,claude-sonnet-4-6,1649,233,1882,6.31,0,
sample_240,claude-sonnet-4-6,claude-sonnet-4-6,1159,353,1512,6.98,0,
sample_251,claude-sonnet-4-6,claude-sonnet-4-6,1541,246,1787,6.28,0,
sample_254,claude-sonnet-4-6,claude-sonnet-4-6,2102,471,2573,9.12,0,
sample_237,claude-sonnet-4-6,claude-sonnet-4-6,1447,697,2144,23.22,0,
sample_258,claude-sonnet-4-6,claude-sonnet-4-6,1911,544,2455,9.38,0,
sample_278,claude-sonnet-4-6,claude-sonnet-4-6,1335,403,1738,7.94,0,
sample_289,claude-sonnet-4-6,claude-sonnet-4-6,1150,466,1616,7.61,0,
