sample_id,requested,resp_model,prompt_tokens,completion_tokens,total_tokens,latency_s,attempt,error
sample_11,gpt-5.4,gpt-5.4,911,19,930,5.11,0,
sample_37,gpt-5.4,gpt-5.4,986,255,1241,7.02,0,
sample_30,gpt-5.4,gpt-5.4,1800,344,2144,9.82,0,
sample_52,gpt-5.4,gpt-5.4,1222,294,1516,8.36,0,
sample_57,gpt-5.4,gpt-5.4,1500,278,1778,10.41,0,
sample_122,gpt-5.4,gpt-5.4,1359,346,1705,5.71,0,
sample_98,gpt-5.4,gpt-5.4,908,869,1777,11.31,0,
sample_126,gpt-5.4,gpt-5.4,1197,317,1514,6.71,0,
sample_130,gpt-5.4,gpt-5.4,1062,250,1312,3.73,0,
sample_127,gpt-5.4,gpt-5.4,1142,310,1452,6.61,0,
sample_167,gpt-5.4,gpt-5.4,1143,325,1468,5.96,0,
sample_133,gpt-5.4,gpt-5.4,742,216,958,7.9,0,
sample_142,gpt-5.4,gpt-5.4,849,1273,2122,14.52,0,
sample_201,gpt-5.4,gpt-5.4,1039,372,1411,9.8,0,
sample_179,gpt-5.4,gpt-5.4,1248,928,2176,13.44,0,
sample_219,gpt-5.4,gpt-5.4,746,117,863,4.6,0,
sample_218,gpt-5.4,gpt-5.4,1279,414,1693,10.3,0,
sample_233,gpt-5.4,gpt-5.4,1002,290,1292,5.39,0,
sample_269,gpt-5.4,gpt-5.4,1065,220,1285,4.3,0,
sample_287,gpt-5.4,gpt-5.4,1170,227,1397,6.12,0,
sample_292,gpt-5.4,gpt-5.4,1080,351,1431,7.61,0,
sample_281,gpt-5.4,gpt-5.4,788,508,1296,9.09,0,
sample_19,gpt-5.4,gpt-5.4,961,15,976,3.07,0,
sample_67,gpt-5.4,gpt-5.4,811,79,890,3.0,0,
sample_62,gpt-5.4,gpt-5.4,1087,398,1485,7.49,0,
sample_94,gpt-5.4,gpt-5.4,1205,182,1387,5.38,0,
sample_68,gpt-5.4,gpt-5.4,980,68,1048,8.56,0,
sample_103,gpt-5.4,gpt-5.4,756,123,879,4.51,0,
sample_120,gpt-5.4,gpt-5.4,1619,3190,4809,18.14,0,
sample_161,gpt-5.4,gpt-5.4,951,168,1119,4.16,0,
sample_158,gpt-5.4,gpt-5.4,1417,1553,2970,19.1,0,
sample_97,gpt-5.4,gpt-5.4,1065,2302,3367,27.36,0,
sample_175,gpt-5.4,gpt-5.4,1225,62,1287,2.79,0,
sample_183,gpt-5.4,gpt-5.4,1040,232,1272,5.15,0,
sample_226,gpt-5.4,gpt-5.4,827,152,979,5.94,0,
sample_240,gpt-5.4,gpt-5.4,945,59,1004,3.5,0,
sample_212,gpt-5.4,gpt-5.4,1721,453,2174,12.34,0,
sample_241,gpt-5.4,gpt-5.4,1208,71,1279,3.24,0,
sample_254,gpt-5.4,gpt-5.4,1584,304,1888,6.14,0,
sample_258,gpt-5.4,gpt-5.4,1527,337,1864,8.65,0,
sample_237,gpt-5.4,gpt-5.4,1296,2479,3775,28.29,0,
sample_251,gpt-5.4,gpt-5.4,1264,1282,2546,19.69,0,
sample_289,gpt-5.4,gpt-5.4,931,523,1454,12.93,0,
sample_278,gpt-5.4,gpt-5.4,1002,1312,2314,18.59,0,
