C-G_L1,C-G_L2,C-G_L3,C-G_L4,P-C_L1,P-C_L2,P-C_L3,P-C_L4,P-G_L1,P-G_L2,P-G_L3,P-G_L4,group,k3_class,n_extractors,sample_id,score,unprinted_values_agreed_by_all_three
0,0,0,0,0,0,0,0,0,0,0,0,wrong,d-missing,3,sample_11,33.6,0
0,1,1,1,0,1,1,0,0,1,1,0,wrong,d-truncated,3,sample_30,33.6,0
0,1,1,0,0,0,0,0,0,0,0,0,wrong,d-truncated,3,sample_37,33.5,0
0,0,0,0,0,0,0,0,0,0,0,0,wrong,d-missing,3,sample_52,33.6,0
0,1,1,0,0,1,1,1,0,1,1,0,wrong,d-truncated,3,sample_57,33.6,0
0,0,0,0,0,0,0,0,0,0,0,0,wrong,b,3,sample_98,33.6,0
0,0,0,0,0,0,0,0,0,0,0,0,wrong,d-missing,3,sample_122,33.6,0
0,0,0,0,0,0,0,0,0,0,0,0,wrong,d-missing,3,sample_126,33.6,0
0,0,0,0,0,0,0,0,0,0,0,0,wrong,d-missing,3,sample_127,33.6,0
0,0,0,0,0,0,0,0,0,0,0,0,wrong,d-missing,3,sample_130,33.6,0
0,0,0,0,0,0,0,0,0,0,0,0,wrong,d-missing,3,sample_133,33.6,0
0,0,0,0,0,0,0,0,0,0,0,0,wrong,d-missing,3,sample_142,33.6,0
0,0,0,0,0,0,0,0,1,0,0,0,wrong,d-missing,3,sample_167,33.6,0
0,0,0,0,0,0,0,0,0,0,0,0,wrong,d-missing,3,sample_179,33.5,0
0,0,0,0,0,0,0,0,0,0,0,0,wrong,d-missing,3,sample_201,33.5,0
0,0,0,0,0,0,0,0,0,0,0,0,wrong,d-missing,3,sample_218,33.4,0
0,0,0,0,0,0,0,0,0,0,0,0,wrong,d-missing,3,sample_219,33.4,0
0,0,0,0,0,0,0,0,0,1,1,0,wrong,b,3,sample_233,33.4,0
0,1,1,0,0,1,1,0,0,1,1,0,wrong,d-truncated,3,sample_269,33.6,0
0,0,0,0,0,0,0,0,0,0,0,0,wrong,d-missing,3,sample_281,33.6,0
0,0,0,0,0,0,0,0,0,0,0,0,wrong,d-missing,3,sample_287,33.6,0
0,1,1,0,0,1,1,0,0,1,1,0,wrong,d-truncated,3,sample_292,33.6,0
0,0,0,0,0,0,0,0,0,0,0,0,control,,3,sample_19,33.6,0
0,0,0,0,0,0,0,0,0,0,0,0,control,,3,sample_62,33.5,0
0,0,0,0,0,0,0,0,0,1,1,0,control,,3,sample_67,33.6,0
0,0,0,0,0,0,0,0,0,1,1,0,control,,3,sample_68,33.6,0
0,0,0,0,0,0,0,0,0,1,1,0,control,,3,sample_94,33.6,0
0,0,0,0,0,0,0,0,0,0,0,0,control,,3,sample_97,33.3,0
0,0,0,0,0,0,0,0,0,0,0,0,control,,3,sample_103,33.6,0
0,0,0,0,0,0,0,0,1,1,1,0,control,,3,sample_120,33.6,0
0,0,0,0,0,0,0,0,0,0,0,0,control,,3,sample_158,33.6,0
0,0,0,0,0,0,0,0,0,0,0,0,control,,3,sample_161,33.6,0
0,0,0,0,0,0,0,0,0,0,0,0,control,,3,sample_175,33.6,0
0,0,0,0,0,0,0,0,0,0,0,0,control,,3,sample_183,33.6,0
0,0,0,0,0,0,0,0,0,1,1,0,control,,3,sample_212,33.6,0
0,0,0,0,0,0,0,0,0,0,0,0,control,,3,sample_226,33.6,0
0,0,0,0,0,0,0,0,0,0,0,0,control,,3,sample_237,33.6,0
0,0,0,0,0,0,0,0,0,0,0,0,control,,3,sample_240,33.6,0
0,0,0,0,0,0,0,0,0,1,1,0,control,,3,sample_241,33.6,0
0,0,0,0,1,1,1,0,0,0,0,0,control,,3,sample_251,33.6,0
0,0,0,0,0,0,0,0,1,1,1,0,control,,3,sample_254,33.4,0
0,1,1,1,0,1,1,0,0,1,1,0,control,,3,sample_258,33.4,0
0,0,0,0,0,0,0,0,0,0,0,0,control,,3,sample_278,33.6,0
0,0,0,0,0,0,0,0,0,0,0,0,control,,3,sample_289,33.6,0
