base_unanimous,cert_correct,cert_equals_base,certificate,decision,mean_attempts,n_families,n_informative,reaches_three,sample_id,status,vault
12.0,,,,UNINFORMATIVE,10.0,0,1,False,sample_10,ok,12.0
1771562.0,True,True,1771562.0,ACCEPT,7.2,3,3,True,sample_105,ok,1771562.0
139993.0,,,,UNINFORMATIVE,10.0,0,1,False,sample_114,ok,139993.0
16382.0,,,,UNINFORMATIVE,10.0,0,1,False,sample_115,ok,16382.0
5073.0,,,,UNINFORMATIVE,10.0,0,1,False,sample_116,ok,5073.0
691.0,,,,UNINFORMATIVE,8.4,0,2,False,sample_118,ok,691.0
112000.0,,,,UNINFORMATIVE,1.0,0,1,False,sample_121,ok,112000.0
490809.3261021694,,,,UNINFORMATIVE,8.2,0,2,False,sample_125,ok,490867.80000000005
6.0,,,,UNINFORMATIVE,9.8,0,2,False,sample_132,ok,6.0
317278.21244160313,False,True,317278.21244160313,ACCEPT,3.0,3,6,True,sample_137,ok,317210.88
408.0,,,,UNINFORMATIVE,10.0,0,1,False,sample_138,ok,408.0
37343.0,,,,UNINFORMATIVE,10.0,0,1,False,sample_143,ok,37343.0
130347.0,,,,UNINFORMATIVE,10.0,0,1,False,sample_144,ok,130347.0
979.0,,,,UNINFORMATIVE,10.0,0,1,False,sample_146,ok,979.0
18974.0,,,,UNINFORMATIVE,10.0,0,1,False,sample_154,ok,18974.0
57.0,,,,UNINFORMATIVE,9.8,0,2,False,sample_156,ok,57.0
8.0,,,,UNINFORMATIVE,10.0,0,1,False,sample_157,ok,8.0
50636.0,,,,UNINFORMATIVE,10.0,0,1,False,sample_171,ok,50636.0
1.6070000000000002,,,,UNINFORMATIVE,10.0,0,1,False,sample_177,ok,1.606575707076325
16585.0,,,,UNINFORMATIVE,10.0,0,1,False,sample_18,ok,16585.0
3904.0,,,,UNINFORMATIVE,1.8,0,1,False,sample_184,ok,3904.0
83258.0,,,,UNINFORMATIVE,10.0,0,1,False,sample_188,ok,83258.0
2115.0,,,,UNINFORMATIVE,10.0,0,1,False,sample_193,ok,2115.0
3.0,True,True,3.0,ACCEPT,5.2,3,6,True,sample_196,ok,3.0
115.0,,,,UNINFORMATIVE,10.0,0,1,False,sample_204,ok,115.0
82111.0,,,,UNINFORMATIVE,1.0,0,2,False,sample_206,ok,82111.0
21398.0,,,,UNINFORMATIVE,10.0,0,1,False,sample_216,ok,21398.0
18096.0,,,,UNINFORMATIVE,10.0,0,1,False,sample_223,ok,18096.0
3923.0,,,,UNINFORMATIVE,10.0,0,1,False,sample_235,ok,3923.0
26.23428477148985,,,,UNINFORMATIVE,10.0,0,1,False,sample_238,ok,26.234284771489854
15069.0,,,,UNINFORMATIVE,10.0,0,1,False,sample_24,ok,15069.0
30.0,,,,UNINFORMATIVE,10.0,0,1,False,sample_249,ok,30.0
337961.4308110118,True,True,337961.4308110118,ACCEPT,3.2,3,6,True,sample_250,ok,337952.71807228914
1.642,,,,UNINFORMATIVE,10.0,0,1,False,sample_252,ok,1.40052737380067
530468.4632000001,,,,UNINFORMATIVE,10.0,0,1,False,sample_259,ok,530481.2666666666
85284.0,,,,UNINFORMATIVE,10.0,0,1,False,sample_260,ok,85284.0
13621.0,,,,UNINFORMATIVE,10.0,0,1,False,sample_263,ok,13621.0
69355.5,True,True,69355.5,ACCEPT,1.8,3,6,True,sample_266,ok,69355.5
960.0,,,,UNINFORMATIVE,10.0,0,1,False,sample_270,ok,960.0
77398.0,,,,UNINFORMATIVE,10.0,0,1,False,sample_293,ok,77398.0
4815.0,True,True,4815.0,ACCEPT,1.8,3,6,True,sample_300,ok,4815.0
1023.0,,,,UNINFORMATIVE,10.0,0,1,False,sample_31,ok,1023.0
917.0,,,,UNINFORMATIVE,10.0,0,1,False,sample_32,ok,917.0
1057.0,,,,UNINFORMATIVE,10.0,0,1,False,sample_38,ok,1057.0
1772.0,,,,UNINFORMATIVE,10.0,0,1,False,sample_42,ok,1772.0
19431.0,,,,UNINFORMATIVE,10.0,0,1,False,sample_53,ok,19431.0
23183.0,,,,UNINFORMATIVE,10.0,0,1,False,sample_54,ok,23183.0
90893.0,,,,UNINFORMATIVE,1.0,0,1,False,sample_55,ok,90893.0
14604.0,True,True,14604.0,ACCEPT,4.4,3,6,True,sample_6,ok,14604.0
117763.0,,,,UNINFORMATIVE,10.0,0,1,False,sample_70,ok,117763.0
974.0,,,,UNINFORMATIVE,10.0,0,1,False,sample_72,ok,974.0
13.0,True,True,13.0,ACCEPT,2.8,3,6,True,sample_76,ok,13.0
34500.0,,,,UNINFORMATIVE,10.0,0,1,False,sample_79,ok,34500.0
569638.4825174825,,,,UNINFORMATIVE,10.0,0,1,False,sample_80,ok,569592.1111111112
39946.0,,,,UNINFORMATIVE,10.0,0,1,False,sample_82,ok,39946.0
101749.0,,,,UNINFORMATIVE,2.0,0,1,False,sample_89,ok,101749.0
1581.0,,,,UNINFORMATIVE,10.0,0,1,False,sample_90,ok,1581.0
